,LabChemTestSID,LabChemTestName,Units,LOINCSID,LOINC,Component,TopSID,Topography,p1,p5,p10,p25,p50,p75,p90,p95,p99,n,min,max
11,269,stature,ft,,6793-4,digital stadiometer,,adult height,5.193711832,5.376090132,5.477469314,5.630220262,5.837582323,6.087489586,6.237414631,6.313935332,6.573745817,180,5.112464422,6.625822157
12,299,stature,ft,,1754-1,stadiometer,,adult height,4.843039474,5.25490375,5.407267433,5.635615957,5.809376094,6.031009359,6.267265185,6.322502703,6.670905957,148,4.700824724,6.758062347
13,394,stature,feet,,6793-4,digital stadiometer,,full-body,5.004526292,5.265976215,5.366504258,5.581477405,5.786926622,6.026230198,6.242825561,6.380124535,6.6194715,902,4.707199876,6.871693967
14,79,adlt height,ft,,6793-4,stadiometer,,full-body,5.049855249,5.276064927,5.40668029,5.603219544,5.824438236,6.044280308,6.25150931,6.365886909,6.574473494,5684,4.669583764,7.254470486
15,71,height,feet,,6793-4,self-reported,,adult height,5.038149249,5.25096573,5.369412213,5.58586241,5.817126371,6.031570952,6.232405851,6.343473156,6.547563002,1970,4.754531981,6.987550222
16,283,adlt height,feet,,1754-1,height rod,,height,5.066900517,5.28357012,5.405540687,5.608516364,5.830310656,6.062686026,6.256372435,6.36579216,6.592643443,5896,4.693452721,6.917915375
17,415,ht,feet,,1754-1,height rod,,height,5.078236336,5.354087612,5.4154804,5.61093134,5.785604724,6.051486239,6.261459187,6.3942515,6.649778871,301,5.001658784,6.892600671
18,263,stature,ft,,1754-1,stadiometer,,full-body,5.124878896,5.285404601,5.394318262,5.589006813,5.825731377,6.055183343,6.27073843,6.355176073,6.566810144,833,4.745072855,6.999656001
19,168,adlt height,feet,,1754-1,digital stadiometer,,full-body,5.077028729,5.279916764,5.396846277,5.606560619,5.827703014,6.045158633,6.245564972,6.370661128,6.589707829,4850,4.570191856,7.093589933
20,161,ht,ft,,1754-1,self-reported,,body,5.045266988,5.286826456,5.401568739,5.591971466,5.805456038,6.04009813,6.268513761,6.370190659,6.595295033,1229,4.783691082,6.90181338
21,407,height,ft,,6793-4,self-reported,,body,5.269901195,5.343811357,5.447780067,5.653068127,5.842527702,6.106673809,6.277876584,6.308775535,6.495329346,102,5.211441307,6.880613486
22,341,adlt height,feet,,6793-4,self-reported,,full-body,5.05600295,5.241341862,5.39698901,5.580697432,5.80458789,6.029486471,6.233210304,6.39665731,6.610651803,821,4.866809834,6.736932673
23,481,stature,feet,,6793-4,stadiometer,,full-body,4.996899485,5.156386738,5.303671198,5.563095673,5.910966674,6.235181512,6.39217539,6.587680607,6.770294373,83,4.814992529,6.838201111
24,577,adlt height,ft,,6793-4,digital stadiometer,,height,5.079200594,5.278027803,5.405454304,5.60230273,5.814179943,6.053927258,6.256169468,6.377967531,6.586981212,2771,4.557200832,6.928561794
25,558,adlt height,feet,,6793-4,stadiometer,,body,5.224812363,5.300902212,5.356983585,5.617420145,5.812381428,5.966706604,6.210577129,6.253379432,6.399582,40,5.20531933,6.455805858
26,127,stature,feet,,1754-1,stadiometer,,height,5.326485753,5.338292477,5.361822495,5.64385103,5.913036567,5.982905095,6.065857678,6.226128974,6.453702947,14,5.323534072,6.51059644
27,22,height,feet,,1754-1,height rod,,height,5.049625316,5.272323929,5.403396122,5.605477554,5.83339244,6.060879228,6.250935898,6.36875541,6.599553487,3350,4.673847193,7.221067206
28,70,adlt height,feet,,6793-4,stadiometer,,height,5.110161281,5.288160217,5.442883751,5.638824242,5.832554783,6.053901152,6.256296114,6.365418966,6.646766601,346,4.967900796,6.845412388
29,170,stature,feet,,6793-4,self-reported,,height,5.041400075,5.25998594,5.398160738,5.596750167,5.81964363,6.052248946,6.257444001,6.376681578,6.637289458,3109,4.754320722,6.980349927
30,338,ht,ft,,1754-1,stadiometer,,body,5.103446162,5.283373588,5.40401953,5.619114504,5.833604344,6.058698066,6.259043784,6.383772917,6.633844611,960,4.541754934,6.817628632
31,310,height,ft,,6793-4,height rod,,full-body,5.06251336,5.239086403,5.27445272,5.5882133,5.87210998,6.092184823,6.253433997,6.324589411,6.379604336,77,4.827903703,6.467656232
32,492,stature,feet,,1754-1,digital stadiometer,,adult height,5.143596253,5.333846357,5.427084689,5.616107709,5.837865293,6.034890188,6.29224406,6.462044554,6.708870406,247,4.727492121,6.845784497
33,175,height,feet,,1754-1,stadiometer,,adult height,5.117351316,5.350596064,5.434482853,5.63234047,5.869167389,6.083550085,6.241738572,6.358036041,6.665610091,193,5.044225315,6.823227018
34,298,ht,ft,,6793-4,height rod,,adult height,5.367236616,5.526559523,5.576340613,5.748583835,5.903923315,6.070470601,6.237715746,6.316008773,6.381662329,39,5.330098635,6.405390545
35,92,ht,feet,,1754-1,digital stadiometer,,body,5.079428222,5.270414888,5.390944366,5.585458775,5.817483825,6.049291666,6.265414517,6.379511907,6.576428757,750,4.796567018,6.981588905
36,139,adlt height,ft,,1754-1,stadiometer,,body,4.932120598,5.229985808,5.351967373,5.571824737,5.772747278,5.956708327,6.198294688,6.258257596,6.361787658,56,4.744129461,6.455055532
37,417,stature,ft,,1754-1,digital stadiometer,,body,5.150374621,5.293313716,5.431373848,5.628888683,5.84168272,6.057399476,6.201000539,6.262903018,6.545092843,203,4.725860617,6.668638459
38,369,stature,ft,,1754-1,self-reported,,full-body,5.050671359,5.285256404,5.402778147,5.595233426,5.827150937,6.050065072,6.254052954,6.37997181,6.600119359,8903,4.465936584,7.04618196
39,429,adlt height,feet,,6793-4,digital stadiometer,,full-body,4.983641341,5.343135384,5.423669234,5.661247873,5.836627975,6.034927538,6.243824053,6.302315263,6.487230278,129,4.959659198,6.58454049
40,540,stature,feet,,1754-1,stadiometer,,full-body,5.074357775,5.285189769,5.401824236,5.603907984,5.829813219,6.054479357,6.256298682,6.366241675,6.586773197,4489,4.72341839,6.981372991
41,166,adlt height,ft,,6793-4,stadiometer,,height,5.132079568,5.142102993,5.264047631,5.716278803,5.943420022,6.128154914,6.306226122,6.345008444,6.428566677,28,5.131675893,6.454903456
42,404,stature,ft,,6793-4,stadiometer,,height,5.249684679,5.379133211,5.430013321,5.683647112,5.86978294,6.032808193,6.25200796,6.348625375,6.496641121,24,5.211843154,6.535764557
43,258,stature,feet,,1754-1,height rod,,height,5.069962312,5.242309253,5.400713401,5.629924626,5.866513835,6.08619729,6.316924228,6.401023389,6.570412781,348,4.961244312,6.718008427
44,49,adlt height,feet,,6793-4,stadiometer,,adult height,5.092833717,5.267277683,5.399974324,5.608021034,5.822052039,6.044884535,6.259677853,6.365404876,6.548643767,1358,4.887786568,6.974936924
45,231,ht,ft,,1754-1,height rod,,body,5.074083825,5.282211497,5.429732437,5.641578523,5.83070622,6.045887545,6.235551447,6.356137558,6.602568489,1016,4.815071548,6.802559588
46,517,ht,ft,,1754-1,height rod,,adult height,5.152518487,5.320763061,5.442421458,5.633197947,5.851549504,6.067631564,6.276681308,6.373201061,6.578677873,991,5.002144131,6.899992462
47,6,adlt height,feet,,1754-1,height rod,,height,5.114641839,5.167695193,5.258072267,5.579056347,5.78557361,6.011414466,6.149633985,6.177169941,6.278467216,31,5.099399187,6.316750515
48,345,adlt height,ft,,1754-1,self-reported,,adult height,5.113403438,5.285528942,5.404713656,5.616619768,5.846513589,6.054329542,6.256508693,6.380285936,6.576860494,1909,4.901716555,6.895019763
49,286,height,feet,,1754-1,height rod,,adult height,5.228272218,5.350354511,5.479369571,5.619946781,5.849646886,6.020647161,6.189605242,6.295386162,6.556814445,89,5.157428194,6.560585843
50,177,height,ft,,1754-1,self-reported,,height,5.120570777,5.328259324,5.485716671,5.632219146,5.861059666,6.097570078,6.209818146,6.39644593,6.603613461,59,5.031961163,6.716810664
51,169,adlt height,ft,,1754-1,height rod,,height,5.298954764,5.372505735,5.422490175,5.517323374,5.767429811,5.950004637,6.236579794,6.293362416,6.325705546,30,5.273838569,6.328043085
52,430,height,feet,,1754-1,height rod,,body,5.086277628,5.305288942,5.417207733,5.608074882,5.825509676,6.039975608,6.260260699,6.37660053,6.59957732,2091,4.62431962,7.090524257
53,165,adlt height,feet,,1754-1,stadiometer,,height,5.125765213,5.349301341,5.414108212,5.618527182,5.819591232,6.031829877,6.178316913,6.397620187,6.583427297,52,5.100959923,6.595677865
54,332,height,feet,,1754-1,digital stadiometer,,body,5.053652053,5.288113546,5.405795798,5.602826214,5.828025373,6.048148634,6.253987798,6.380001095,6.601439647,4811,4.617786062,7.070623911
55,195,stature,ft,,6793-4,height rod,,body,5.093975398,5.297267016,5.401290547,5.600712399,5.83704698,6.052758597,6.254637329,6.366421258,6.602065795,5164,4.525285144,7.005042477
56,514,ht,feet,,6793-4,stadiometer,,adult height,5.018494579,5.280513434,5.423022154,5.5962465,5.817318561,6.025499685,6.235874118,6.360757263,6.57514708,888,4.645684014,6.750590173
57,182,adlt height,feet,,6793-4,digital stadiometer,,height,5.218167247,5.337788793,5.400982246,5.605470376,5.805316379,5.955849623,6.146100425,6.33566048,6.424122559,44,5.189748576,6.458358372
58,210,ht,ft,,6793-4,digital stadiometer,,body,5.038452475,5.289668718,5.402425029,5.608812683,5.836568746,6.055317296,6.27039383,6.358578835,6.610034871,1280,4.574319901,6.826016135
59,72,stature,feet,,6793-4,self-reported,,full-body,5.054144604,5.286468298,5.404077626,5.607115438,5.831437086,6.061401488,6.258902218,6.379885697,6.613577615,9966,4.656798853,6.997348323
60,504,ht,ft,,1754-1,self-reported,,full-body,5.216209839,5.325554167,5.436406825,5.625819549,5.83317634,6.077954407,6.279425675,6.420447238,6.567746459,325,4.805812457,6.684324779
61,424,stature,ft,,6793-4,height rod,,adult height,5.048196135,5.263853717,5.420667852,5.626488755,5.865809742,6.118801729,6.294876058,6.433397482,6.607367879,423,5.004479848,6.82924721
62,449,ht,ft,,1754-1,digital stadiometer,,body,5.313365214,5.317481578,5.368157562,5.451659462,5.745404105,5.972091276,5.979969682,6.048591019,6.25333605,17,5.312336123,6.304522308
63,402,ht,ft,,6793-4,stadiometer,,height,5.091218649,5.261951025,5.420834811,5.604671573,5.830555501,6.077269836,6.266025215,6.357496425,6.576043897,1369,4.801511554,6.904098526
64,535,height,ft,,1754-1,height rod,,body,5.096885391,5.302097902,5.42015737,5.611016725,5.839055246,6.049032903,6.24976654,6.372162616,6.585826464,4873,4.579131262,7.018860286
65,561,adlt height,feet,,1754-1,stadiometer,,height,5.097183119,5.291976439,5.376147052,5.579706095,5.808317315,6.062565628,6.233766467,6.31362353,6.619639393,692,4.80761545,6.890926335
66,485,adlt height,ft,,6793-4,stadiometer,,body,5.093580661,5.203749652,5.389850393,5.605648496,5.975862514,6.127001026,6.322927659,6.337414102,6.345210886,17,5.066038414,6.347160082
67,99,ht,ft,,1754-1,stadiometer,,adult height,5.068903481,5.225053776,5.324218453,5.576319239,5.781122741,6.040769348,6.228037833,6.34908849,6.583603845,271,4.935311913,6.850208477
68,234,ht,ft,,1754-1,height rod,,adult height,5.078293788,5.30920772,5.418537639,5.607993716,5.823566565,6.044428063,6.240857916,6.36334529,6.577233903,4872,4.414867967,6.984963853
69,251,adlt height,feet,,1754-1,height rod,,adult height,5.134872431,5.340100734,5.441477364,5.605904529,5.832239991,6.060681522,6.271497305,6.363562853,6.590106879,351,4.873522726,6.824342088
70,411,stature,feet,,1754-1,height rod,,adult height,5.262177208,5.422798976,5.573051079,5.767498741,5.945066716,6.132550984,6.243294718,6.440071458,6.660491548,46,5.173254717,6.730896093
71,348,height,feet,,1754-1,self-reported,,body,5.079707145,5.302317627,5.418813904,5.626302202,5.832460218,6.059399422,6.271922294,6.399874158,6.639269723,1624,4.610559841,7.04203197
72,436,height,ft,,1754-1,height rod,,height,5.055322978,5.303846578,5.400029739,5.595739215,5.827015348,6.047976537,6.243100715,6.363123315,6.587176707,3642,4.593865935,6.936113986
73,409,adlt height,ft,,6793-4,stadiometer,,body,4.951463536,5.257436936,5.392691935,5.618573377,5.842063608,6.069835796,6.247152172,6.374163622,6.590622734,1271,4.683129769,6.928765954
74,464,height,feet,,1754-1,stadiometer,,height,5.185818124,5.262620758,5.35549578,5.663909106,5.78414059,5.928277613,6.18696311,6.323928053,6.512837392,45,5.12704316,6.603015701
75,35,adlt height,ft,,1754-1,self-reported,,full-body,5.158711655,5.261817303,5.355733314,5.526980371,5.720601101,6.104673546,6.188972934,6.257682543,6.376601189,15,5.132935244,6.40633085
76,314,adlt height,ft,,1754-1,digital stadiometer,,height,5.305525775,5.458237666,5.529898151,5.692343518,5.967505523,6.171966536,6.287307166,6.453626142,6.60086724,38,5.295442671,6.678764256
77,287,height,feet,,6793-4,height rod,,height,5.05351154,5.245573406,5.41517985,5.601725548,5.836517235,6.027494914,6.208777445,6.343565448,6.479480877,267,4.956219408,6.562207254
78,62,ht,ft,,6793-4,self-reported,,full-body,5.138950345,5.31754585,5.435486459,5.627855385,5.815971614,6.028521771,6.18784109,6.333214801,6.510942996,345,4.600576195,6.926432309
79,185,ht,feet,,6793-4,stadiometer,,adult height,5.195312713,5.345345196,5.436705225,5.60847632,5.823836147,6.059499284,6.23430753,6.373744316,6.604554113,247,5.030963946,6.738528082
80,257,ht,feet,,6793-4,stadiometer,,adult height,5.153545026,5.288358535,5.456649508,5.649030333,5.784861886,6.023662187,6.231055691,6.302348121,6.437678602,116,5.110209955,6.531918042
81,431,adlt height,feet,,6793-4,digital stadiometer,,body,5.285969447,5.382797004,5.445740943,5.581091384,5.782349203,6.041427918,6.235222253,6.33127459,6.455375557,53,5.263535084,6.541470934
82,143,height,ft,,6793-4,self-reported,,height,5.104892114,5.284293434,5.418216606,5.607770711,5.837017378,6.044575811,6.265959069,6.417079601,6.696333916,376,4.758159168,7.019527076
83,571,adlt height,ft,,6793-4,digital stadiometer,,height,5.08434081,5.284548999,5.405377335,5.601706779,5.820439753,6.044224389,6.250671555,6.386870749,6.621334471,5500,4.529723265,7.125424996
84,373,adlt height,ft,,1754-1,height rod,,full-body,5.087437026,5.296982375,5.378385139,5.559162639,5.779105765,6.033638023,6.25958494,6.339875373,6.497335897,207,5.037662589,6.620857545
85,423,stature,feet,,6793-4,self-reported,,adult height,5.558742378,5.56650877,5.612152855,5.662135732,5.884237787,6.023701303,6.172537544,6.311862605,6.595646281,18,5.55680078,6.666592201
86,370,stature,ft,,6793-4,stadiometer,,full-body,5.004881948,5.244087176,5.387725491,5.614639664,5.852403634,6.051879705,6.255007784,6.382907053,6.594827082,762,4.199220919,6.832610485
87,289,adlt height,feet,,6793-4,digital stadiometer,,full-body,5.108786767,5.286514508,5.446358778,5.592710349,5.831085842,6.051583924,6.237098567,6.357270712,6.485692866,466,4.692008301,6.792448223
88,136,stature,feet,,1754-1,digital stadiometer,,full-body,5.086180102,5.287272695,5.400691296,5.597954869,5.81793989,6.041579235,6.24702132,6.367997812,6.595820844,7564,4.625990679,6.934439955
89,274,adlt height,feet,,1754-1,self-reported,,body,5.18522797,5.23250205,5.306342365,5.672659133,5.93263206,6.136912048,6.378654278,6.415852993,6.45334376,14,5.17340945,6.462716452
90,268,height,feet,,6793-4,self-reported,,full-body,5.0622929,5.305556074,5.413621363,5.609969948,5.829792814,6.054332962,6.261396815,6.369840404,6.578894911,5629,4.38094943,6.946423348
91,473,adlt height,feet,,6793-4,digital stadiometer,,height,5.106802098,5.317340562,5.438077782,5.62158638,5.832155544,6.040312538,6.223151671,6.371585079,6.617520337,725,4.533525767,6.976275951
92,570,ht,feet,,1754-1,stadiometer,,body,5.160866798,5.411683055,5.482624659,5.651339274,5.901249415,6.054740778,6.204813134,6.296861916,6.470970456,191,5.030436844,6.88720709
93,113,ht,ft,,1754-1,stadiometer,,adult height,5.353513689,5.433270397,5.599159257,5.677073273,5.920567263,6.106511791,6.157821977,6.360554114,6.531301958,40,5.340420826,6.58642052
94,393,stature,feet,,6793-4,height rod,,body,4.954008562,5.12817617,5.304943083,5.544965018,5.855977469,6.027548674,6.207061935,6.410227946,6.610771654,71,4.928621924,6.654280205
95,358,adlt height,ft,,6793-4,digital stadiometer,,body,5.044005081,5.279093076,5.403125891,5.608959826,5.824775218,6.060996014,6.248051756,6.363786836,6.578376387,2714,4.719879317,7.109474498
96,2,adlt height,ft,,6793-4,height rod,,height,5.416056343,5.478287735,5.556076974,5.58534957,5.676119115,5.740277661,5.828345751,5.912008722,5.978939098,10,5.400498495,5.995671692
97,525,stature,ft,,1754-1,digital stadiometer,,full-body,5.178159249,5.29214725,5.375933389,5.599843629,5.827083424,6.037137531,6.203743825,6.307711974,6.63204965,255,5.107197313,6.801675093
98,97,adlt height,ft,,6793-4,self-reported,,height,5.108475741,5.289512314,5.39914569,5.611654555,5.829860905,6.075117535,6.277226713,6.403795486,6.631040889,1730,4.818541748,7.097185441
99,235,height,feet,,1754-1,self-reported,,body,5.037868941,5.30201223,5.411665781,5.609423923,5.827026974,6.060714075,6.251749691,6.359585835,6.601826853,1020,4.446460408,6.754893726
100,406,adlt height,ft,,6793-4,stadiometer,,adult height,5.067004372,5.248739554,5.415062763,5.546450375,5.706566009,6.153819047,6.400523894,6.449569819,6.46668227,13,5.021570576,6.470960383
101,518,ht,feet,,6793-4,stadiometer,,height,5.04950779,5.281589759,5.403868276,5.611088359,5.828043735,6.053892197,6.24874706,6.370099698,6.590498636,7087,4.683529591,6.889231771
102,510,adlt height,feet,,1754-1,height rod,,full-body,5.080034029,5.304046054,5.413698106,5.612491778,5.838249236,6.065269008,6.263277163,6.393642902,6.601007079,3966,4.662763082,6.906476639
103,179,stature,ft,,6793-4,height rod,,height,4.928836541,5.204052622,5.30813897,5.669181465,5.838338682,6.106561763,6.332692301,6.401452643,6.478517618,85,4.838482435,6.479102563
104,469,adlt height,feet,,6793-4,self-reported,,body,5.11141819,5.283095288,5.382793714,5.553753909,5.831026782,6.082209869,6.300416731,6.47960895,6.563895698,113,5.047900099,6.606998651
105,305,height,feet,,6793-4,self-reported,,adult height,5.015903625,5.186704782,5.366420016,5.598388061,5.800906689,6.021285834,6.26637082,6.31824761,6.509480449,83,4.886874274,6.521360777
106,124,height,ft,,6793-4,height rod,,full-body,5.122050847,5.31459875,5.420055064,5.631300656,5.845743985,6.06199362,6.241095259,6.334360008,6.537157498,1134,4.824992023,7.168489892
107,569,ht,ft,,1754-1,height rod,,body,5.076773908,5.306423837,5.42368408,5.599059387,5.814359935,6.028438062,6.205830041,6.348045317,6.572614377,606,4.70030086,6.98671012
108,528,ht,feet,,1754-1,digital stadiometer,,body,5.15491305,5.302696708,5.361500557,5.590227349,5.779684988,6.034656583,6.21136573,6.35393237,6.514061416,213,5.056546288,6.55737072
109,447,height,feet,,1754-1,self-reported,,body,5.007712227,5.200354803,5.278344974,5.598343601,5.78014437,6.050576355,6.320253136,6.418774955,6.613673684,114,4.928142631,6.904815817
110,58,height,feet,,6793-4,self-reported,,full-body,5.046133778,5.243666586,5.361568345,5.625045806,5.86181243,6.092217959,6.327770619,6.431772927,6.558612934,316,4.939742051,6.787693202
111,88,stature,feet,,6793-4,height rod,,adult height,5.052774786,5.312633898,5.474908292,5.618316368,5.842284296,6.049230197,6.335073766,6.444934793,6.616557389,233,4.841960981,6.72976289
112,121,adlt height,feet,,1754-1,height rod,,adult height,5.040712692,5.292516038,5.400988339,5.602192694,5.796393484,6.037605964,6.274489572,6.376054639,6.579474214,803,4.901662253,6.869142047
113,209,stature,ft,,6793-4,digital stadiometer,,full-body,5.112939422,5.281137959,5.405380265,5.598459933,5.827553212,6.064365873,6.279709058,6.409701743,6.63232549,1656,4.889407355,6.873521635
114,460,adlt height,feet,,1754-1,digital stadiometer,,full-body,4.911767978,5.176440201,5.449673188,5.642321527,5.825252531,6.137844782,6.319375172,6.369362454,6.679405438,47,4.885042392,6.893691955
115,229,adlt height,feet,,6793-4,stadiometer,,adult height,5.079579715,5.286665916,5.408652751,5.607185349,5.82325011,6.042971381,6.253972912,6.381686804,6.586004277,3319,4.752748095,7.105530671
116,183,stature,ft,,1754-1,height rod,,body,5.197678894,5.272394763,5.426743372,5.608764033,5.829786623,6.027132523,6.198900729,6.240147491,6.582330414,221,5.148574829,6.690148263
117,526,stature,ft,,6793-4,stadiometer,,full-body,5.064356044,5.167413709,5.31549708,5.580997067,5.772003341,6.023092116,6.200976293,6.273232938,6.634104329,117,5.044922478,6.734489917
118,340,stature,feet,,1754-1,digital stadiometer,,body,5.60279721,5.623865267,5.642885391,5.766395087,5.968400734,6.073667558,6.161444034,6.178005053,6.225807833,26,5.597027228,6.239946155
119,176,adlt height,ft,,6793-4,self-reported,,height,5.111057188,5.28423691,5.394432441,5.604622195,5.82769239,6.062383189,6.247501463,6.345895351,6.603085508,2095,4.928505374,7.156793179
120,77,height,feet,,6793-4,self-reported,,body,5.078348565,5.300849225,5.404640215,5.608551663,5.833868464,6.046575923,6.256140255,6.391479388,6.63793571,2982,4.69587865,7.209315801
121,376,ht,ft,,6793-4,height rod,,height,5.127540747,5.307429912,5.404592916,5.622550033,5.849423093,6.073033093,6.298858539,6.394395787,6.594046229,403,4.828385731,6.695340099
122,598,stature,ft,,6793-4,self-reported,,body,5.097410256,5.310598383,5.399552021,5.597355947,5.818769918,6.043858439,6.230117638,6.404619985,6.619532854,719,4.869555703,6.847202272
123,575,stature,feet,,1754-1,height rod,,height,5.263479816,5.41508111,5.604582728,5.699182984,5.823147485,6.059034943,6.357918648,6.572025006,6.743310092,11,5.225579492,6.786131364
124,145,height,feet,,1754-1,self-reported,,height,5.079665375,5.308919511,5.425713799,5.62215252,5.841954078,6.061373356,6.26014009,6.375224699,6.59694575,2745,4.612495113,6.93806661
125,101,height,ft,,1754-1,digital stadiometer,,height,5.047560961,5.34193894,5.436467189,5.619600641,5.850081179,6.068026336,6.27456138,6.408470255,6.568156783,280,4.919113434,6.731983704
126,490,ht,ft,,6793-4,stadiometer,,body,5.013114113,5.439848387,5.463048543,5.64977651,5.842953042,6.120195128,6.318903637,6.465585507,6.614637334,22,4.899947624,6.652358393
127,491,height,ft,,6793-4,stadiometer,,height,5.07142902,5.289705795,5.399922469,5.604714457,5.826703568,6.051518051,6.2490598,6.371243486,6.605329888,5386,4.546538587,6.947006869
128,562,stature,feet,,1754-1,digital stadiometer,,height,5.071284917,5.292759655,5.412609782,5.609167365,5.828158992,6.05076295,6.261141178,6.373266582,6.590928112,8574,4.65284366,7.048597074
129,81,height,ft,,1754-1,height rod,,height,5.083880973,5.290731506,5.399582435,5.584044106,5.816719327,6.028405133,6.239037836,6.3539481,6.561983289,696,4.810685919,6.800234492
130,565,adlt height,ft,,6793-4,stadiometer,,height,5.069347158,5.256863096,5.422831633,5.623186787,5.823927753,6.04893756,6.249240716,6.373686999,6.573907915,1853,4.689500944,6.908949633
131,398,adlt height,ft,,1754-1,stadiometer,,height,5.249261955,5.321318895,5.404157129,5.705674842,5.824680363,6.006245921,6.420584647,6.446991245,6.448144702,14,5.23124772,6.448433066
132,328,adlt height,ft,,6793-4,self-reported,,full-body,5.533017047,5.539078933,5.546656289,5.728042309,5.826473148,6.169470017,6.412356642,6.501725558,6.57322069,11,5.531501576,6.591094474
133,397,stature,ft,,6793-4,height rod,,full-body,5.058274361,5.285763117,5.412092308,5.613166827,5.835417467,6.053714566,6.25002548,6.361009129,6.603995423,9686,4.497673971,7.019364789
134,351,stature,ft,,1754-1,height rod,,height,5.045680566,5.303055975,5.415035322,5.607587514,5.828142714,6.051608947,6.256029795,6.37797519,6.629914511,5461,4.502042482,7.026843135
135,118,stature,feet,,6793-4,digital stadiometer,,full-body,5.077147178,5.295052886,5.408187926,5.602646232,5.831309142,6.052022279,6.248971355,6.37235577,6.58101008,6118,4.700196462,7.026642863
136,74,ht,feet,,1754-1,height rod,,height,5.075894602,5.287842066,5.402476361,5.600939378,5.825224874,6.054068989,6.255612608,6.37100964,6.607369803,9312,4.456697871,7.16484625
137,412,stature,feet,,6793-4,self-reported,,adult height,5.069076696,5.290376583,5.397776227,5.587663839,5.790868172,6.029684486,6.232429209,6.374806931,6.552097953,1012,4.817885951,6.841228231
138,529,stature,feet,,6793-4,stadiometer,,height,5.056518163,5.282261188,5.392917622,5.597264217,5.826045828,6.045595558,6.236192534,6.363663466,6.609377979,3692,4.776746995,7.002956541
139,564,stature,feet,,6793-4,self-reported,,body,5.066634195,5.284019951,5.398044453,5.601704011,5.827656261,6.054958789,6.259478794,6.37764633,6.610218149,6395,4.562801301,7.126969133
140,324,stature,ft,,1754-1,stadiometer,,body,5.048134891,5.261441807,5.390320074,5.588571816,5.806710257,6.046987694,6.248822456,6.357467071,6.579471219,1771,4.814705474,6.858265538
141,5,height,ft,,1754-1,height rod,,height,5.011226218,5.337171107,5.394842914,5.587431993,5.795397984,6.057400971,6.261078577,6.403455902,6.701370338,35,4.857779906,6.775090648
142,119,adlt height,feet,,6793-4,stadiometer,,full-body,4.979670461,5.237482323,5.400307489,5.608632833,5.836448624,6.054952724,6.249527272,6.311194947,6.555299603,276,4.906896858,6.867423672
143,275,adlt height,ft,,6793-4,height rod,,body,5.112173745,5.283632127,5.408186831,5.607663578,5.823984747,6.063192397,6.281854928,6.398247398,6.598582519,1127,4.781284927,7.021536373
144,152,ht,ft,,1754-1,self-reported,,height,5.319543346,5.414113899,5.509404713,5.703160679,5.884657189,6.003217678,6.250530493,6.319922528,6.699850183,55,5.267238297,6.836208769
145,3,height,feet,,1754-1,digital stadiometer,,height,5.001781779,5.291879839,5.366912148,5.629452192,5.800141215,5.955161469,5.994159174,6.102574815,6.191270599,30,4.904000179,6.193023619
146,284,stature,feet,,1754-1,stadiometer,,full-body,5.177311899,5.255251313,5.308429432,5.553621139,5.798428347,6.006284175,6.199020733,6.262034216,6.403464352,35,5.159788185,6.47123201
